123452847819419_912749032223126,video,"pollution in vietnam
Nguồn: youtube",pollution in vietnam,https://www.facebook.com/baovemoitruongVN/videos/912749032223126/,2017-12-19 15:00:37,11,0,1
123452847819419_895784107252952,photo,"Lượng CO2 đạt mức kỷ lục 800.000 năm
Theo Tổ chức Khí tượng Thế giới (WMO), nồng độ CO2 trong khí quyển tăng mạnh từ năm 2015 đến năm 2016.",,https://www.facebook.com/baovemoitruongVN/photos/a.126220467542657.27863.123452847819419/895784073919622/?type=3,2017-11-13 20:19:02,5,0,0
123452847819419_892607597570603,photo,"Sau những trận lụt, hầu hết các nguồn nước bị ô nhiễm. Đặc biệt khi nước rút đi sẽ để lại một lượng lớn bùn đất và rác thải trôi nổi.

Anh: minh hoa",,https://www.facebook.com/baovemoitruongVN/photos/a.126220467542657.27863.123452847819419/892607394237290/?type=3,2017-11-07 21:49:50,8,0,0
123452847819419_887190514778978,photo,"“Thị trường xuất khẩu nông sản Việt Nam năm 2017 có những dự báo khả quan, song một số thay đổi trên thị trường thế giới trong chính sách thương mại cũng như những hạn chế đã nhìn thấy rõ trong năm 2016 đòi hỏi các nhà làm chính sách, nhà quản lý và doanh nghiệp cần phải có sự thay đổi chiến lược, nhất là thị trường xuất khẩu gạo”.    

PGS.TS Đỗ Thị Phi Hoài",,https://www.facebook.com/baovemoitruongVN/photos/a.126220467542657.27863.123452847819419/887190478112315/?type=3,2017-10-27 10:50:41,4,0,0
123452847819419_887182378113125,photo,"Ý tưởng về thành phố Paris hiện đại, thân thiện với môi trường vào năm 2050",,https://www.facebook.com/baovemoitruongVN/photos/a.126220467542657.27863.123452847819419/887182334779796/?type=3,2017-10-27 10:19:53,3,0,1
123452847819419_883136015184428,photo,"Báo chí thường mô tả Công nghiệp 4.0 với các thành tựu của Trí tuệ Nhân tạo, với máy móc tự động và thông minh như ô-tô tự lái, in ấn 3 chiều, kết nối vạn vật (IoT), công nghệ sinh học và công nghệ nano,… Nhưng cốt lõi của những đột phá này là gì? Có hay không điểm chung của các đột phá đó?",,https://www.facebook.com/baovemoitruongVN/photos/a.126220467542657.27863.123452847819419/883135925184437/?type=3,2017-10-18 11:56:15,4,0,1
123452847819419_882672035230826,photo,,Photos from BẢO VỆ MÔI TRƯỜNG's post,https://www.facebook.com/baovemoitruongVN/photos/a.126220467542657.27863.123452847819419/882671935230836/?type=3,2017-10-17 11:39:54,6,5,0
123452847819419_872670389564324,photo,no smoking,Photos from BẢO VỆ MÔI TRƯỜNG's post,https://www.facebook.com/baovemoitruongVN/photos/a.126220467542657.27863.123452847819419/872670002897696/?type=3,2017-09-23 22:18:25,3,0,3
123452847819419_872126072952089,photo,"Thực tế, khối nợ công 2,5 triệu tỷ là một trong những vấn đề lớn mà kinh tế Việt Nam đã, đang và sẽ phải đối mặt. Nếu không có biện pháp kịp thời, nợ công sẽ trở thành mối đe dọa đến sự phát triển ổn định và bền vững. Đó là con số của năm 2015 đã được kiểm toán chính thức. Còn năm 2016, theo Bộ Tài chính, nợ công đã bằng 64,7% GDP, gần đụng trần Quốc hội cho phép là 65% GDP.

Nguon: http://vietnamnet.vn/vn/kinh-doanh/tai-chinh/",,https://www.facebook.com/baovemoitruongVN/photos/a.126220467542657.27863.123452847819419/872125789618784/?type=3,2017-09-22 15:57:23,2,1,0
123452847819419_871833842981312,video,"bia gia ne!!!!

Nguon: youtube",,https://www.facebook.com/baovemoitruongVN/videos/871833842981312/,2017-09-21 22:54:39,3,0,0
123452847819419_871546609676702,status,"Tập đoàn hoá chất ngập trong khối nợ nghìn tỷ

Có lãi trở lại trong nửa đầu năm 2017 nhưng tổng nợ phải trả của Tập đoàn Hoá chất Việt Nam (Vinachem) lên tới hơn 38.130 tỷ đồng.

Nguồn: vnexpress.net",,,2017-09-21 07:39:34,5,0,0
